mineral,reliance,primary_source,Country_Classification_Primary,Leading_Producing Country,CC_Leading_Producer
Aluminum (bauxite),75%,Jamaica,Ally,Australia,Ally
Antimony,83%,China,Competitor,China,Competitor
Arsenic,100%,China,Competitor,Peru,Neutral
Barite,75%,China,Competitor,India,Neutral
Bismuth,96%,China,Competitor,China,Competitor
Chromium,83%,South Africa,Ally,South Africa,Ally
Cobalt,76%,Norway,Ally,Congo,Neutral
Fluorspar,100%,Mexico,Ally,China,Competitor
Gallium,100%,China,Competitor,China,Competitor
Germanium,50%,China,Competitor,China,Competitor
Graphite (natural),100%,China,Competitor,China,Competitor
Indium,100%,Republic of Korea,Ally,China,Competitor
Lithium,25%,Argentina,Ally,Australia,Ally
Magnesium,50%,Israel,Ally,China,Competitor
Manganese,100%,Gabon,Neutral,South Africa,Ally
Nickel,56%,Canada,Ally,Indonesia,Neutral
Niobium,100%,Brazil,Neutral,Brazil,Neutral
Palladium,26%,Russia,Competitor,Russia,Competitor
Platinum,66%,South Africa,Ally,South Africa,Ally
Rare Earths (compounds and metals),95%,China,Competitor,China,Competitor
Scandium,100%,Europe,Ally,China,Competitor
Tantalum,100%,China,Competitor,Congo,Neutral
Tellerium,75%,Canada,Ally,China,Competitor
Tin,77%,Peru,Neutral,China,Competitor
Titanium (metal),95%,Japan,Ally,China,Competitor
Tungsten,50%,China,Competitor,China,Competitor
Vanadium,54%,Canada,Ally,China,Competitor
Yttrium,100%,China,Competitor,China,Competitor
Zinc,76%,Canada,Ally,NA,NA
Zirconium,50%,South Africa,Ally,Australia,Ally
